CONTROL,STATUS,VALUE
'100003130103',3,140000
'100006110249',1,130000
'100006370140',1,300000
'100007540148',1,150000
'100008700141',3,257000
'100010190149',1,200000
'100013130103',1,235000
'100013230103',1,240000
'100013500140',1,306000
'100014350142',1,325000
'100014370140',1,700000
'100015770147',1,170000
'100022130103',1,600000
'100022990149',1,300000
'100024720144',1,23000
'100027130103',1,350000
'100027770146',1,325000
'100028230103',1,320000
'100028330140',1,105000
'100028590144',1,350000
'100029130103',1,275000
'100029230103',1,550000
'100029370149',1,450000
'100029430103',3,351844
'100029530103',1,90000
'100032300147',1,200000
'100032550147',1,160000
'100033720143',1,800000
'100043750145',1,1000
'100045780142',1,205000
'100045940142',1,750000
'100048130103',3,86000
'100048700148',1,150000
'100049130103',1,140000
'100049180149',1,400000
'100052740140',1,200000
'100056120140',1,90000
'100056130103',1,99000
'100056230203',1,101000
'100056380140',1,200000
'100058130103',1,185000
'100059740145',1,285000
'100067760144',1,275000
'100072130103',1,150000
'100072230103',1,300000
'100072430103',3,244500
'100074130103',1,80000
'100074570143',1,475000
'100077130103',1,225000
'100092130103',1,215000
'100094190143',1,148000
'100101360143',1,153000
'100103130103',1,350000
'100103230103',1,750000
'100107110148',1,310000
'100107130103',1,285000
'100107370148',1,260000
'100107430103',1,145000
'100107630103',1,280000
'100113130103',1,80000
'100119190149',1,300000
'100126110140',1,280000
'100126130103',1,550000
'100126230103',3,391920
'100129130103',1,850000
'100129330103',3,325000
'100134380148',1,84000
'100138130103',1,375000
'100138580149',1,95000
'100141130103',1,100000
'100141330103',1,190000
'100142130103',1,750000
'100142230103',1,180000
'100143330149',1,200000
'100144130103',1,600000
'100144510149',1,500000
'100150180148',1,165000
'100150340148',1,227000
'100150590148',1,525000
'100153770147',1,630000
'100157760141',1,220000
'100158130103',3,217780
'100158370146',1,160000
'100162760145',1,147000
'100167130103',1,235000
'100167230103',3,625000
'100167710146',1,175000
'100167970146',1,130000
'100168130103',1,250000
'100168130146',1,550000
'100168230103',3,182990
'100168330103',1,255000
'100168390147',1,120000
'100168390348',1,100000
'100168430103',1,200000
'100168530103',1,390000
'100168630103',1,350000
'100169130103',1,550000
'100169430103',3,328681
'100173150143',1,146000
'100173230103',1,685000
'100173560143',1,183000
'100176230103',1,430000
'100180130103',1,128000
'100181130103',3,360000
'100181230103',1,500000
'100181360149',1,389000
'100181510149',1,400000
'100182130103',1,275000
'100182390240',3,179900
'100188160142',1,250000
'100188320142',1,379000
'100195380149',1,350000
'100196130103',1,250000
'100196190149',1,130000
'100196230203',1,340000
'100196960144',3,103029
'100204130103',3,244400
'100204710143',1,470000
'100205350142',1,189000
'100206130103',1,150000
'100207130103',1,102000
'100211130149',1,185000
'100216120143',1,225000
'100216330103',3,700000
'100225130103',1,280000
'100229310145',1,180000
'100232140141',1,15000
'100238130103',1,200000
'100239130103',1,550000
'100239760149',1,195000
'100239920149',1,134000
'100239940144',1,1829479
'100243110142',1,130000
'100243130103',1,325000
'100243760140',1,280000
'100245750144',1,375000
'100246130103',1,379000
'100246730146',1,405000
'100247130103',1,650000
'100247230103',1,205000
'100250710147',1,610000
'100250970147',1,600000
'100253130103',3,124900
'100261130103',1,150000
'100261230103',1,400000
'100261330103',1,790000
'100261730103',1,420000
'100261830103',1,320000
'100261830203',1,235000
'100261930103',1,505000
'100264130103',1,450000
'100268130103',1,310000
'100268300143',1,270000
'100268510145',1,270000
'100269130103',1,480000
'100269230103',1,275000
'100269430103',1,525000
'100269530103',1,1829479
'100269630103',1,385000
'100271150140',1,165000
'100273130103',1,600000
'100276980148',1,179000
'100281310146',1,700000
'100281700141',1,900000
'100282360141',1,180000
'100284130103',1,210000
'100284160141',1,190000
'100285130103',1,200000
'100286110149',1,650000
'100286130103',1,180000
'100286160147',3,650000
'100286370149',1,125000
'100287180149',1,180000
'100292780142',1,650000
'100293120147',1,50000
'100294130146',1,425000
'100294230103',1,600000
'100294540146',1,330000
'100295130103',1,307000
'100295430103',1,356000
'100295630103',1,360000
'100295830103',1,360000
'100298130103',1,611000
'100299130103',3,169000
'100299630103',3,239000
'100299730103',1,219000
'100300310145',1,200000
'100302130103',1,340000
'100302230103',1,216000
'100302330103',1,528000
'100302430103',1,332000
'100303110149',1,150000
'100303130103',1,280000
'100303170145',1,84000
'100303230103',1,280000
'100303330145',1,84000
'100303930140',1,126500
'100306430103',1,156000
'100309720145',1,400000
'100310130103',1,300000
'100311230103',1,400000
'100312910144',1,228000
'100313130103',3,389500
'100315130103',1,65000
'100319130103',3,174888
'100319230103',1,1829479
'100319330103',3,174888
'100319350149',1,57000
'100319530103',1,110000
'100319750140',1,75000
'100319830103',1,220000
'100319930103',1,125000
'100320130103',1,265000
'100321130103',1,33000
'100325990142',1,125000
'100326130141',1,85000
'100327350241',1,650000
'100333300142',1,250000
'100336230103',1,325000
'100336330103',1,60000
'100336430303',1,32000
'100336530403',1,170000
'100336630203',1,350000
'100336730103',1,250000
'100336830103',1,300000
'100336900149',1,700000
'100336930103',1,90000
'100339130103',1,114000
'100339160140',1,130000
'100339230203',1,48000
'100339530103',3,85000
'100341130103',3,205990
'100344510146',1,140000
'100351130103',1,425000
'100351340149',1,360000
'100355130103',1,120000
'100356320140',1,151000
'100356320148',3,250000
'100359130103',1,350000
'100365120140',1,152000
'100365130103',1,220000
'100365380140',1,210000
'100369540143',1,275000
'100372130103',1,700000
'100372300140',1,45000
'100372300249',1,160000
'100374330146',1,235000
'100374780142',1,165000
'100380530149',1,290000
'100381370145',1,118000
'100381590246',1,250000
'100382360142',1,300000
'100386230103',1,70000
'100389130103',3,149990
'100389230103',1,175000
'100389530103',1,185000
'100389630103',1,172000
'100389830103',3,650000
'100393130103',1,225000
'100394130103',1,280000
'100410120143',1,395000
'100410130103',1,460000
'100410630103',1,430000
'100410730103',1,1829479
'100410780243',1,450000
'100410830203',1,445000
'100410930103',1,1829479
'100416320144',1,500000
'100418950148',3,200000
'100424130103',1,600000
'100424390140',1,300000
'100425230103',1,310000
'100426140146',1,90000
'100426550146',1,60000
'100430970144',1,150000
'100431120143',1,165000
'100431130103',1,250000
'100431330103',1,350000
'100431380143',1,220000
'100431430103',1,400000
'100431530143',1,260000
'100433130103',1,350000
'100433230103',3,340000
'100434380148',1,250000
'100435590147',1,200000
'100438130103',3,210000
'100438230103',1,312000
'100439300144',1,180000
'100440130103',1,420000
'100447130103',1,310000
'100451380141',1,140000
'100452330103',1,300000
'100457130103',3,125000
'100465100147',1,220000
'100468360143',1,200000
'100468510143',1,150000
'100474130103',1,500000
'100474370248',1,750000
'100477130103',1,130000
'100477230103',1,145000
'100477330103',1,206000
'100479140140',1,380000
'100479140249',1,325000
'100481130103',1,380000
'100482130103',1,450000
'100482230103',1,175000
'100483390241',1,225000
'100489330103',1,450000
'100489360146',1,180000
'100489430103',3,619993
'100489760246',1,225000
'100493950141',1,470000
'100494130103',1,115000
'100494230103',3,112000
'100494330103',1,200000
'100494430103',1,290000
'100494730147',1,400000
'100497130103',3,199500
'100499710149',1,500000
'100500310142',1,350000
'100502530103',1,280000
'100502930103',1,70000
'100503720146',1,400000
'100504130103',1,350000
'100504380143',1,235000
'100508350146',1,245000
'100510130103',1,750000
'100512130103',1,1829479
'100512230103',1,1829479
'100515330148',1,450000
'100529130103',1,250000
'100529330103',1,300000
'100529370249',1,250000
'100530130103',1,240000
'100530340148',1,350000
'100532320142',1,260000
'100534390140',1,85000
'100538130103',3,250000
'100538230103',1,272000
'100542380145',1,300000
'100543330146',1,185000
'100546350149',1,800000
'100548550148',1,250000
'100550560148',3,61000
'100553130103',1,340000
'100553130149',1,125000
'100553950140',1,228000
'100557100144',1,175000
'100557360144',1,90000
'100565130103',1,350000
'100570230103',1,350000
'100572130103',1,90000
'100572230103',1,265000
'100572720149',1,140000
'100574130103',3,893950
'100576360140',1,175000
'100577130103',1,240000
'100580110140',1,250000
'100580130103',1,80000
'100580230103',1,212000
'100582130103',1,425000
'100585130103',1,80000
'100586130103',3,310000
'100590120140',1,250000
'100590130103',1,75000
'100590380140',1,138000
'100591130103',3,204000
'100596630103',1,270000
'100600370149',1,400000
'100600770140',1,350000
'100602500144',1,170000
'100604140140',1,100000
'100605130103',1,275000
'100607130103',1,200000
'100607230103',1,154000
'100607330103',1,129000
'100607430103',3,166900
'100608130103',1,285000
'100617130203',1,275000
'100617230103',1,130000
'100619770144',1,129000
'100622130103',1,80000
'100622230103',1,25000
'100622330103',1,200000
'100622430103',3,700000
'100622700146',1,140000
'100623130103',1,245000
'100623430103',3,269900
'100623530103',1,530000
'100629310145',1,100000
'100631370145',1,95000
'100633230103',1,60000
'100633330203',1,300000
'100633380146',1,150000
'100635130103',1,500000
'100635300140',1,250000
'100635430103',1,355000
'100637130103',3,600000
'100641100140',1,180000
'100646130103',1,187000
'100649130103',1,80000
'100650140147',1,30000
'100650530146',3,48000
'100650550147',1,69000
'100652390147',1,200000
'100653130103',1,220000
'100653320144',1,900000
'100654760142',1,300000
'100655130103',1,350000
'100655230103',1,359000
'100657130103',1,250000
'100661720141',1,550000
'100662130103',1,257000
'100664990146',1,95000
'100669130103',1,210000
'100669720149',1,92000
'100670760144',1,1000
'100671180142',1,150000
'100681170142',1,230000
'100681330142',1,450000
'100682930144',1,320000
'100685170141',1,320000
'100685330141',1,170000
'100686320147',1,140000
'100687130103',1,330000
'100687230103',1,550000
'100687730149',1,165000
'100693360148',1,190000
'100693510148',1,121000
'100697590144',1,500000
'100700230103',1,195000
'100705110347',1,500000
'100710330103',1,210000
'100714710146',1,325000
'100716560147',1,300000
'100721310142',1,95000
'100724130103',1,245000
'100724360143',1,500000
'100726190142',1,65000
'100727130103',1,100000
'100727230103',3,99900
'100730130103',1,150000
'100733130103',1,370000
'100733430103',3,305000
'100736130103',1,310000
'100740720146',1,750000
'100743940144',1,150000
'100747330103',1,500000
'100749130103',1,125000
'100749230103',1,420000
'100750300144',1,70000
'100752130103',1,155000
'100755130103',3,220000
'100755230103',1,555000
'100755330103',1,285000
'100755430103',3,550000
'100755530103',1,220000
